lag,acf,pacf
1,0.91,0.91
2,0.84,0.03
3,0.79,0.13
4,0.78,0.23
5,0.82,0.33
6,0.86,0.31
7,0.89,0.28
8,0.83,-0.32
9,0.77,-0.13
10,0.72,-0.13
11,0.7,-0.07
12,0.73,0.01
13,0.78,0.13
14,0.8,0.12
15,0.74,-0.18
16,0.67,-0.07
17,0.62,-0.04
18,0.61,-0.01
19,0.64,-0
20,0.68,0.02
21,0.7,0.1
22,0.64,-0.08
23,0.58,-0.02
24,0.53,-0.01
25,0.52,-0.04
26,0.55,-0.01
27,0.58,0.02
28,0.61,0.17
29,0.56,-0.07
30,0.5,-0.03
31,0.45,-0.05
32,0.44,0.02
33,0.47,-0.01
34,0.5,-0.02
35,0.53,0.07
36,0.48,-0.01
37,0.43,0.02
38,0.39,-0.02
39,0.38,-0.02
40,0.4,-0
41,0.44,0.01
42,0.47,0.09
43,0.42,-0.07
44,0.36,-0.06
45,0.32,-0.01
46,0.31,-0.03
47,0.34,0.01
48,0.38,-0
49,0.41,0.1
50,0.36,-0.06
51,0.31,-0
52,0.27,0.03
53,0.26,0.02
54,0.29,-0.02
55,0.33,0.01
56,0.36,-0.01
