admis,date,year,month,month.day,day,week.day,time,weekend
2486,2014-01-01,2014,ene,1,miércoles,3,0,0
2784,2014-01-02,2014,ene,2,jueves,4,1,0
2632,2014-01-03,2014,ene,3,viernes,5,2,0
3167,2014-01-04,2014,ene,4,sábado,6,3,0
3130,2014-01-05,2014,ene,5,domingo,7,4,0
2829,2014-01-06,2014,ene,6,lunes,1,5,0
2581,2014-01-07,2014,ene,7,martes,2,6,0
2371,2014-01-08,2014,ene,8,miércoles,3,7,0
2356,2014-01-09,2014,ene,9,jueves,4,8,0
2253,2014-01-10,2014,ene,10,viernes,5,9,0
2785,2014-01-11,2014,ene,11,sábado,6,10,0
2537,2014-01-12,2014,ene,12,domingo,7,11,0
2480,2014-01-13,2014,ene,13,lunes,1,12,0
2349,2014-01-14,2014,ene,14,martes,2,13,0
2122,2014-01-15,2014,ene,15,miércoles,3,14,0
2093,2014-01-16,2014,ene,16,jueves,4,15,0
1884,2014-01-17,2014,ene,17,viernes,5,16,0
2448,2014-01-18,2014,ene,18,sábado,6,17,0
2219,2014-01-19,2014,ene,19,domingo,7,18,0
2298,2014-01-20,2014,ene,20,lunes,1,19,0
2244,2014-01-21,2014,ene,21,martes,2,20,0
2206,2014-01-22,2014,ene,22,miércoles,3,21,0
2126,2014-01-23,2014,ene,23,jueves,4,22,0
1925,2014-01-24,2014,ene,24,viernes,5,23,0
2291,2014-01-25,2014,ene,25,sábado,6,24,0
2493,2014-01-26,2014,ene,26,domingo,7,25,0
2344,2014-01-27,2014,ene,27,lunes,1,26,0
2406,2014-01-28,2014,ene,28,martes,2,27,0
2167,2014-01-29,2014,ene,29,miércoles,3,28,0
1948,2014-01-30,2014,ene,30,jueves,4,29,0
1713,2014-01-31,2014,ene,31,viernes,5,30,0
2022,2014-02-01,2014,feb,1,sábado,6,31,0
2119,2014-02-02,2014,feb,2,domingo,7,32,0
2343,2014-02-03,2014,feb,3,lunes,1,33,0
2099,2014-02-04,2014,feb,4,martes,2,34,0
2077,2014-02-05,2014,feb,5,miércoles,3,35,0
2126,2014-02-06,2014,feb,6,jueves,4,36,0
1952,2014-02-07,2014,feb,7,viernes,5,37,0
2189,2014-02-08,2014,feb,8,sábado,6,38,0
2092,2014-02-09,2014,feb,9,domingo,7,39,0
2128,2014-02-10,2014,feb,10,lunes,1,40,0
2114,2014-02-11,2014,feb,11,martes,2,41,0
1913,2014-02-12,2014,feb,12,miércoles,3,42,0
1868,2014-02-13,2014,feb,13,jueves,4,43,0
1504,2014-02-14,2014,feb,14,viernes,5,44,0
1986,2014-02-15,2014,feb,15,sábado,6,45,0
2145,2014-02-16,2014,feb,16,domingo,7,46,0
2237,2014-02-17,2014,feb,17,lunes,1,47,0
1968,2014-02-18,2014,feb,18,martes,2,0,0
1959,2014-02-19,2014,feb,19,miércoles,3,1,0
1901,2014-02-20,2014,feb,20,jueves,4,2,0
1824,2014-02-21,2014,feb,21,viernes,5,3,0
2030,2014-02-22,2014,feb,22,sábado,6,4,0
